Instances,CCASat,clasp,lingeling,glucose,sinn
Crafted/12/SATCompetition2011/application/SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-tr.used-as.sat04-321.cnf.gz,1.70694,72.7674,2.58087,3.46273,1.90532
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest03/looksrandom/hgen8-n320-01-S1432474240.sat05-483.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/11/09/rbsat/random/forced/rbsat-v2400c266431gyes7.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/er/mutcb14.cnf.gz,900,363.055,63.564,122.592,58.2354
Crafted/11/11/mosoi/289/289-sat-6x9.cnf.gz,0.0198539,0.025521,0.090095,0.053331,0.0197201
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/ramseycube/Q32inK09.cnf.gz,900,15.5549,25.0014,19.4325,175.35
Crafted/11/03/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf.gz,900,31.8362,0.067032,16.714,20.4637
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_379.cnf.gz,8.93778,50.7206,76.4759,14.828,22.7576
Crafted/11/11/mosoi/289/289-sat-6x8.cnf.gz,0.0184371,0.026993,0.0889791,0.047428,0.0170911
Crafted/12/SATCompetition2007/crafted/Medium/contest05/pebbling/sat-grid-pbl-0070.sat05-1334.reshuffled-07.cnf.gz,0.224886,0.0402951,0.208334,7.47248,0.032707
Crafted/12/SATCompetition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf.gz,900,55.0928,25.1832,22.6893,23.3616
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.94.opt.cnf.gz,732.844,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-69.cnf.gz,900,1.2571,6.67344,1.54869,0.871954
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.81.opt.cnf.gz,0.32031,900,900,900,900
Crafted/11/11/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.44.opt.cnf.gz,63.418,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/aim-200-6_0-yes1-3.cnf.mis-136.debugged.cnf.gz,900,900,900,900,900
Crafted/11/11/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-5-5_34309.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf.gz,0.541964,82.9127,116.664,133.887,264.738
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/mosoi/289/289-unsat-6x30.cnf.gz,0.111121,900,165.796,1.37528,0.676436
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/parity-games/instance_n3_i3_pp_ci_ce.cnf.gz,0.0474879,0.0256001,0.0843,0.041093,0.0127309
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes4.cnf.gz,4.86032,363.434,900,898.106,900
Crafted/11/09/rbsat/crafted/unforced/rbsat-v760c43649g7.cnf.gz,88.5434,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/x2_64.shuffled-as.sat03-1603.cnf.mis-125.debugged.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf.gz,1.00194,1.73743,4.56538,2.87107,2.95463
Crafted/12/SATCompetition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf.gz,900,10.8319,40.9389,20.1056,35.0992
Crafted/12/SATCompetition2007/crafted/spence/medium/s65-100.cnf.gz,900,3.92788,3.09692,12.3634,6.54748
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/sabharwal/gt-ordering-unsat-gt-045.sat05-1310.reshuffled-07.cnf.gz,900,900,34.1998,900,900
Crafted/11/11/mosoi/289/289-sat-11x4.cnf.gz,0.0382269,0.0164971,0.031407,0.0339519,0.014751
Crafted/11/11/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_508.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/eulcbip-7-UNSAT.shuffled-as.sat05-3936.cnf.mis-100.debugged.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/spence/hard/s101-100.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest05/counting-clq/unsat-set-b-clqcolor-16-11-14.sat05-1261.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/11/11/spence/sgen/sgen3-n160-s73223945-unsat.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/aim-200-6_0-yes1-2.cnf.mis-138.debugged.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-93.cnf.gz,900,1.89501,8.41409,2.14606,1.28006
Crafted/12/SATCompetition2011/crafted/SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf.gz,0.0646101,0.796271,36.7546,3.56454,5.60497
Crafted/11/11/mosoi/289/289-unsat-21x33.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.58.opt.cnf.gz,0.854937,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-230-2.sat05-2189.reshuffled-07.cnf.gz,900,276.759,0.0478041,900,900
Crafted/11/09/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-02-S350203913.sat05-486.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v1150c84314gyes1.cnf.gz,900,900,900,900,900
Crafted/11/09/rbsat/crafted/forced/rbsat-v2400c266431gyes2.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-30_843.cnf.gz,900,900,900,900,900
Crafted/11/11/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p30-s52708253.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/289-sat-4x8.cnf.mis-95.debugged.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/sgi/satsgi-n23himBHm27-p0-q266.cnf.gz,0.0318101,0.0437479,0.115075,0.07654,0.0250149
Crafted/11/11/spence/sgen/sgen3-n150-s89334302-unsat.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT09/CRAFTED/sgen/unsat/sgen1-unsat-121-100.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q369.75-n30-p15-s59317012.cnf.gz,7.53879,138.967,32.5009,666.587,900
Crafted/11/11/skvortsov/battleship/battleship-14-14-unsat.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/er/urq45.cnf.gz,900,900,0.0270201,399.966,900
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/edgematching/fbcolors/em_14_7_3_fbc.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT09/CRAFTED/parity-games/instance_n9_i9_pp.cnf.gz,900,346.482,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/genurq6Sat.shuffled-as.sat03-1512.cnf.mis-112.debugged.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.7.opt.cnf.gz,0.216878,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/spence/sgen/sgen3-n280-s93756482-sat.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/SATChallenge2012_submitted/combinatorial_sat/EnsembleComputation/jkkk-random-132906006148277-10-10-34-SUM-sat.cnf.gz,900,900,900,900,675.9
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf.gz,900,106.82,0.375827,87.0631,98.453
Crafted/12/SATChallenge2012_crafted_debugged/sgen1-unsat-85-100.cnf.mis-63.debugged.cnf.gz,900,900,746.967,204.205,469.905
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest05/phnf/phnf-size10-exclusive-equilarge_m3.used-as.sat04-900.sat05-4186.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/11/11/skvortsov/battleship/battleship-16-16-unsat.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT04/handmade/anton/l5k3/lksat-n1100-m4103-k3-l5-s558351420.used-as.sat04-934.cnf.gz,0.119049,2.84079,305.674,364.791,265.849
Crafted/11/05/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Medium/contest05/jarvisalo/mod2c-rand3bip-sat-190-3.sat05-2445.reshuffled-07.cnf.gz,900,6.59722,1.36484,33.2923,58.913
Crafted/12/sc2012HardCombinatorial/satrace-unselected/er/ph10.cnf.gz,900,41.5618,102.228,102.094,900
