,Instances,CCASat,clasp,lingeling,glucose,sinn,Ave
509,289-sat-7x6.cnf.gz,0.026978,0.0187619,0.0469041,0.0345431,0.014416899999999998,0.0283208
514,289-sat-6x20.cnf.gz,0.0423901,0.14987,0.132866,0.16880799999999999,0.10678800000000001,0.12014441999999999
539,battleship-8-15-sat.cnf.gz,0.0175951,0.1527,0.0234651,2.1538,0.00961008,0.47143405599999993
554,instance_n3_i3_pp.cnf.gz,0.0573179,0.018172999999999998,0.0518889,0.031922000000000006,0.0139749,0.03465534
559,Q3inK09.cnf.gz,0.09851710000000001,1.13825,0.48831099999999994,0.17716400000000002,0.623742,0.50519682
585,VanDerWaerden_pd_2-3-19_337.cnf.gz,0.815511,15.181,3.26136,11.4786,17.2945,9.606194200000001
596,satsgi-n24himBHm28-p0-q282.cnf.gz,0.0417171,0.0485621,0.142548,0.100452,0.0252969,0.07171522
602,289-sat-6x19.cnf.gz,0.0441,0.12695399999999998,0.116424,0.171045,0.081124,0.1079294
622,satsgi-n21himBHm25-p0-q212.cnf.gz,0.026854000000000003,0.0343261,0.09327300000000001,0.0658341,0.019158099999999997,0.047889060000000004
626,srhd-sgi-m27-q225-n25-p15-s58217873.cnf.gz,0.535289,15.2215,16.288,44.9195,33.1089,22.014637800000003
632,satsgi-n22himBHm25-p0-q239.cnf.gz,0.034164099999999996,0.036855900000000004,0.146797,0.07387200000000001,0.0196951,0.06227682000000001
635,289-sat-9x13.cnf.gz,0.036635,0.142584,0.174574,0.19286,0.091347,0.1276
636,satsgi-n25himBHm29-p0-q290.cnf.gz,0.0450159,0.0740091,0.127904,0.09353489999999999,0.026705,0.07343377999999999
643,Q3inK10.cnf.gz,0.37595,22.3395,1.27093,0.793643,12.1602,7.388044600000001
648,rbsat-v760c43649g5.cnf.gz,5.54836,12.155999999999999,9.51038,7.40596,8.9441,8.712959999999999
653,par32-5.debugged.cnf.gz,0.0890599,0.034518099999999996,0.181776,0.11405799999999999,0.020531900000000002,0.08798878
670,satsgi-n19himBHm22-p0-q181.cnf.gz,0.028712900000000003,0.030289999999999997,0.0824799,0.055577,0.015094999999999999,0.042430960000000004
678,mod5block_1var_7gates.cnf.gz,16.3584,4.19318,3.67434,2.97117,0.535065,5.546431
