Instances,smodels/default-n1,claspInternal/crafted-n1,cmodels/default-n1
ASPExtended/ASP-Comp-2009-Lparse/CompGraphPartitioning/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.gz,18.5606,12.4449,27.4746
ASPExtended/SolitaireBackward/solitare_backward_t9_p10.lp.lp.gz,900,0.076971,0.44373
ASPExtended/laby/laby_16_16_12.lp.gz,900,190.452,137.735
ASPExtended/hardwareASP/hard_inst_5_5_10300.gr.gz,900,5.40102,2.94592
ASPExtended/Synthesis/mutex3AsyncNondet.sm.gz,900,1.28873,16.0728
ASPExtended/hardwareASP/hard_inst_10_8_4281.gr.gz,900,900,97.1477
ASPExtended/RicochetRobots/robo38.lp.gz,98.7922,656.743,15.011
ASPExtended/HamiltonClumpy/08/clumpy-08x08_09.sm.gz,0.0309391,0.014767,0.0428399
ASPExtended/graph_colouring/graph-colouring-nodes=135-density=0.1-instance=10.sm.gz,900,900,812.454
ASPExtended/gridpuzzle/bag-1.lp.lp.gz,290.872,7.28744,11.584
ASPExtended/laby/laby_16_16_08.lp.gz,900,900,900
ASPExtended/RicochetRobots/robo35.lp.gz,129.153,257.601,18.8658
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-asymmetric-time=25.gz,900,0.108091,0.606331
ASPExtended/laby/laby_20_20_19.lp.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=7-height=7-colours=11.gz,8.02312,0.0794111,5.25602
ASPExtended/planning/dispose/p03_08.lp-15-321.sm.gz,900,285.072,41.3468
ASPExtended/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721297189.dat.gz,37.9707,4.05385,6.05951
ASPExtended/planning/comm/p08.lp-34-19568.sm.gz,900,900,900
ASPExtended/HamiltonianCycle/rand_150_1200_1154711577_10.gph.lp.gz,900,0.058139,1.64449
ASPExtended/HamiltonClumpy/21/clumpy-21x21_11.sm.gz,3.37458,0.757147,2.24814
ASPExtended/planning/comm/p14.lp-40-11058.sm.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompMazeGeneration/maze-generation-width=19-height=19-density=0.01-run=4.gz,0.220542,0.038902,0.068026
ASPExtended/coala/blocksworld/coala_b14_20.lparse.gz,900,306.586,110.731
ASPExtended/planning/comm/p14.lp-39-9468.sm.gz,900,900,900
ASPExtended/planning/dispose/p02_05.lp-15-354.sm.gz,834.008,1.32067,0.816895
ASPExtended/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,34.9328,1.29706,8.07981
ASPExtended/planning/coins/coins06.lp-20-2947.sm.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.15.lp.gz,900,0.0742719,0.200826
ASPExtended/ASP-Comp-2009-Lparse/CompWireRouting/wire.14.x.14.b.8.a.40_unsat.data.gz,900,20.0677,755.636
ASPExtended/planning/comm/p16.lp-44-5076.sm.gz,900,304.853,900
ASPExtended/planning/coins/coins10.lp-23-7197.sm.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompSokoban/dimitri_yorick.54.steps.12.asp.gz,16.1214,0.192885,0.331809
ASPExtended/planning/dispose/p02_06.lp-20-17833.sm.gz,900,900,225.334
ASPExtended/ASP-Comp-2011-Lparse/19-MultiContextSystemQuerying/00-multi_context_system_querying-0-0.asp.gz,1.23127,0.864499,1.06169
ASPExtended/ASP-Comp-2009-Lparse/CompWeightBoundedDominatingSet/rand_200_800_1159728969_7.lp.gz,900,238.452,434.75
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.30.lp.gz,0.250445,0.0158141,0.125155
ASPExtended/Su-Doku/sudoku250.lp.lp.gz,3.19402,2.29463,5.78889
ASPExtended/SocialGolfer/csp010-SocialGolfer_w4_g2_s4.dlv.dat.lp.lp.gz,0.0138239,0.011963,0.0342701
ASPExtended/ASP-Comp-2009-Lparse/CompWireRouting/wire.16.x.16.b.10.a.25_unsat.data.gz,0.238635,0.229952,0.869805
ASPExtended/hardwareASP/hard_inst_7_11_5978.gr.gz,900,900,32.6797
ASPExtended/Sokoban-Hard/handmade_soko035.lp-27-4470.sm.gz,900,900,900
ASPExtended/laby/laby_12_12_08.lp.gz,900,6.52238,900
ASPExtended/Sokoban-Hard/handmade_soko035.lp-26-2574.sm.gz,900,900,900
